title,artists,date,rank,peak,total weeks,lyrics,info,Sentiment
Low,Flo Rida Featuring T-Pain,01/06/2008,1,1,10,"Let me talk to 'em
Let me talk to 'em (let it rain)
Let me talk to 'em
C'mon

Shawty had them Apple Bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

I ain't never seen none that'll make me go
This crazy all night, spending my dough
Had the million dollar vibe and a bottle to go
Them birthday cakes, they stole the show

So sexual, she was flexible
Professional, drinking X&amp;O
Hold up, wait a minute
Do I see what I think I? Whoa

Did I think I've seen shawty get low
Ain't the same when it's up that close
Make it rain I'm making it snow
Work the pole I got the bank roll

I'm a say that I prefer them no clothes
I'm into that, I love women exposed
She threw it back at me I gave her mo'
Cash ain't a problem, I know where it goes

She had them Apple Bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Hey shawty, what I gotta do to get you home
My jeans filled with gwap and they're ready for show
It's Cadillacs, Maybach for the sexy grown
Patrón on the rocks that'll make you moan

One stack (come on), two stacks (come on), three stacks (come on)
Now that's three grand
What you think I'm playing baby girl I'm the man
I ain't dealing rubber bands

That's what I told her
Her legs on my shoulder
I knew it was over
That Henny and Cola
Got me like a soldier
She ready for rover
I couldn't control her
So lucky on me, I was just like clover

Shawty was hot like a toaster
Sorry but I had to fold her
Like a pornography poster
She showed her

Apple Bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Whoa shawty, yeah she was worth the money
Lil' mama took my cash
And I ain't want it back
The way she bent that back
Got all them paper stacks
Tattoo above her crack
I had to handle that

I was on it sexy woman
Let me show it, made me want it
Two in the morning, I'm zoned in
Them rosé bottles foaming

She wouldn't stop, made it drop
Shawty did that pop &amp; lock
Had to break her off that gwap
Gal was fine, just like my glock

Apple Bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

Come on",Low+Flo Rida Featuring T-Pain,0
No One,Alicia Keys,01/06/2008,2,1,17,"I just want you close
Where you can stay forever
You can be sure
That it will only get better

You and me together through the days and nights
I don't worry 'cause everything's gonna be alright
People keep talking, they can say what they like
But all I know is everything's gonna be alright

No one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you
You, you
Can get in the way of what I feel for you

When the rain is pouring down
And my heart is hurting
You will always be around
This I know for certain

You and me together through the days and nights
I don't worry 'cause everything's gonna be alright
People keep talking, they can say what they like
But all I know is everything's gonna be alright

No one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you
You, you
Can get in the way of what I feel

I know some people search the world
To find something like what we have
I know people will try, try to divide something so real
So till the end of time I'm telling you

There ain't no one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you",No One+Alicia Keys,1
Apologize,Timbaland Featuring OneRepublic,01/06/2008,3,2,22,"I'm holding on your rope
Got me ten feet off the ground
And I'm hearin' what you say but I just can't make a sound
You tell me that you need me
Then you go and cut me down, but wait
You tell me that you're sorry
Didn't think I'd turn around, and say

That it's too late to apologize, it's too late
I said it's too late to apologize, it's too late

I'd take another chance, take a fall
Take a shot for you,
And I need you like a heart needs a beat
But it's nothing new

I loved you with a fire red
Now it's turning blue, and you say
""Sorry"" like the angel heaven let me think was you
But I'm afraid

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late

It's too late to apologize, it's too late
I said it's too late to apologize, it's too late
It's too late to apologize, yeah,
I said it's too late to apologize, yeah
I'm holdin' on your rope, got me ten feet off the ground",Apologize+Timbaland Featuring OneRepublic,0
Kiss Kiss,Chris Brown Featuring T-Pain,01/06/2008,4,1,16,"Yo this is Nappy Boy Radio live
With ya boy, T-Pain
We love rap music
Listen, uh, we got a caller on line one
Caller what's your problem?

Hello, I'm on the radio with T-Pain
How's it goin? Yeah
It ain't goin good
My girl ain't doin' her thangs she used to do
And oh...

I got just what you need
Brand new Chris Brown, T-Pain
You heard it here first Nappy Boy Radio
We love you

Hey, she want that lovey dovey (lovey dovey)
That kiss kiss (kiss kiss)
In her mind she fantasize 'bout gettin' wit' me
They hatin' on me (hatin' on me)
They wanna diss diss (kiss kiss)
Because she mine and so fine
And thick as can be

She want that lovey dovey (lovey dovey)
That kiss kiss (kiss kiss)
In her mind she fantasize 'bout gettin' wit' me
They hatin' on me (hatin' on me)
They wanna diss diss (kiss kiss)
Because she mine and so fine
And thick as can be

I'm a country boy from Tappahannock (ah-ooh)
VA is where I reside
So shawty understand it (ah-ooh)
And I know I just turned 18

And I get a little mannish (ah-ooh)
And you see this bandana hangin'
That means I'm like a bandit
Like-like a bandit-bandit (aww, ruff)

I got paper girl (ruff)
The Lamborghini (ruff)
With the spider seats (ruff)
You neva seen it (ah-ooh)

So get it, shawty
We parkin' lot pimpin' in my dome
And I know what you want

She want that lovey dovey (lovey dovey)
That kiss kiss (kiss kiss)
In her mind she fantasize 'bout gettin' wit' me
They hatin' on me (hatin' on me)
They wanna diss diss (kiss kiss)
Because she mine and so fine
And thick as can be

She want that lovey dovey (lovey dovey)
That kiss kiss (kiss kiss)
In her mind she fantasize 'bout gettin' wit' me
They hatin' on me (hatin' on me)
They wanna diss diss (kiss kiss)
Because she mine and so fine
And thick as can be

I'm the epitome of this demonstration
I got the remedy, ya feelin me
So why is you hatin' on my anatomy
It's bird like (yeah)
You heard right
Girl I'm the king so that means I'm fly (aww, ruff)

If you wit' it girl (ruff)
Get it poppin' (ruff)
Roll wit me (ruff)
Ain't no stoppin' (ah-ooh)

So get it, shawty
We parking lot pimpin' in my dome
And I know what you want

She want that lovey dovey (lovey dovey)
That kiss kiss (kiss kiss)
In her mind she fantasize 'bout gettin' wit' me
They hatin' on me (hatin' on me)
They wanna diss diss (kiss kiss)
Because she mine and so fine
And thick as can be

She want that lovey dovey (lovey dovey)
That kiss kiss (kiss kiss)
In her mind she fantasize 'bout gettin' wit' me
They hatin' on me (hatin' on me)
They wanna diss diss (kiss kiss)
Because she mine and so fine
And thick as can be

Ah, ah, ah, ah, ah
Shawty lemme holla at you
You so hot, hot, hot, hot
You think I'd be holla'n if you not, not, not, not?
I'm king of the town you can take a look around
Teddy Penderassdown in the spot, spot, spot, spot

(Yeah) I got money on it
(Yeah) Baby girl no problem
(Yeah) You rollin shawty
(Yeah) Let's hit McDonald's (ruff)

It's TP and CB
I'm a Nappy Boy
Oowweee

She want that lovey dovey (lovey dovey)
That kiss kiss (kiss kiss)
In her mind she fantasize 'bout gettin' wit' me
They hatin' on me (hatin' on me)
They wanna diss diss (kiss kiss)
Because she mine and so fine
And thick as can be

She want that lovey dovey (lovey dovey)
That kiss kiss (kiss kiss)
In her mind she fantasize 'bout gettin' wit' me
They hatin' on me (hatin' on me)
They wanna diss diss (kiss kiss)
Because she mine and so fine
And thick as can be

T-Pain
Chris Brown
Yeah

We are live back on Nappy Boy Radio
This is your boy DJ Pain
I gotta get outta here man
I just wanna leave with it
If you ain't got it by now then you just ain't getting it
Let's go

Nappy Boy (aye) and Pretty Boy (aye)
Nappy Boy (aye) and Pretty Boy (aye)
Boy I say
Nappy Boy (hear somethin' boy) and Pretty Boy
Nappy Nappy Nappy and Pretty Boy

5, 4, 3, 0 yeah",Kiss Kiss+Chris Brown Featuring T-Pain,1
Clumsy,Fergie,01/06/2008,6,5,12,"Can't help it, the girl can't help it
(Oh baby)
Can't help it, the girl can't help it
(Oh baby)
Can't help it, the girl can't help it
(Oh baby)
Can't help it

First time that I saw your eyes
Boy, you looked right through me
Play it cool but I knew you knew
That Cupid hit me

You got me trippin', stumblin', flippin', fumblin'
Clumsy 'cause I'm fallin' in love
You got me slippin', tumblin', sinkin', fumblin'
Clumsy 'cause I'm fallin' in love
So in love with you

Can't help it, the girl can't help it
(Oh baby)
Can't help it, the girl can't help it
(Oh no)
Can't help it, the girl can't help it
(Oh how)
Can't help it

Can't breathe when you touch me, see
Butterflies so crazy
Whoa now, think I'm goin' down
Friends don't know what's with me

You got me trippin', stumblin', flippin', fumblin'
Clumsy 'cause I'm fallin' in love
You got me slippin', tumblin', sinkin', fumblin'
Clumsy 'cause I'm fallin' in love
So in love with you

She can't help it, the girl can't help it
(Oh no)
Can't help it, the girl can't help it
(Oh please)
Can't help it, the girl can't help it
(Oh no)
Can't help it

You know this ain't the first time
This has happened to me, this love sick thing
I like serious relationships
And a girl like me don't stay single for long
'Cause every time a boyfriend and I break up
My world is crushed and I'm all alone
The love bug crawls right back up
And bites me and I'm back

Can't help it, the girl can't help it
(In love)
Can't help it, the girl can't help it
(Oh God)
Can't help it, the girl can't help it
(I'm back in love)
Can't help it

Can't help it, the girl can't help it
(I'm back in love, yeah)
Can't help it, the girl can't help it
(I'm back in love, yeah baby)
Can't help it, the girl can't help it
(I'm back in love, yeah)
Can't help it
(I know you got me)

You got me trippin', stumblin', flippin', fumblin'
Clumsy 'cause I'm fallin' in love
You got me slippin', tumblin', sinkin', fumblin'
Clumsy 'cause I'm fallin' in love
So in love with you

Clumsy 'cause I'm fallin' in love
You got me slippin', tumblin', sinkin', fumblin'
Clumsy 'cause I'm fallin' in love
So in love with you
So in love with you, so in love with you",Clumsy+Fergie,1
Bubbly,Colbie Caillat,01/06/2008,7,5,27,"Will you count me in?

I've been awake for a while now
You got me feelin' like a child now
'Cause every time I see your bubbly face
I get the tinglies in a silly place

It starts in my toes
And I crinkle my nose
Wherever it goes, I always know
That you make me smile
Please stay for a while now
Just take your time, wherever you go

The rain is fallin' on my window pane
But we are hidin' in a safer place
Under cover stayin' dry and warm
You give me feelings that I adore

They start in my toes
Make me crinkle my nose
Wherever it goes, I always know
That you make me smile
Please stay for a while now
Just take your time, wherever you go

But what am I gonna say,
When you make me feel this way?
I just... mmmmm...

And it starts in my toes
Makes me crinkle my nose
Wherever it goes, I always know
That you make me smile
Please stay for a while now
Just take your time, wherever you go

I've been asleep for a while now
You tuck me in just like a child now
'Cause every time you hold me in your arms
I'm comfortable enough to feel your warmth

It starts in my soul
And I lose all control
When you kiss my nose, the feelin' shows
'Cause you make me smile
Baby, just take your time now
Holdin' me tight

Wherever, wherever, wherever you go
Wherever, wherever, wherever you go
Oh, wherever you go
I always know
'Cause you make me smile
Even just for a while",Bubbly+Colbie Caillat,1
Paralyzer,Finger Eleven,01/06/2008,8,6,30,"I hold on so nervously to me and my drink 
I wish it was cooling me
But so far has not been good, it's been shitty
And I feel awkward as I should

This club has got to be the most pretentious thing
Since I thought you and me
Well, I am imagining a dark lit place
Or your place or my place

Well I'm not paralyzed, but I seem to be struck by you
I want to make you move because you're standing still
If your body matches what your eyes can do
You'll probably move right through me on my way to you

I hold out for one more drink, before I think
I'm looking too desperately
But so far has not been fun, I should just stay home
If one thing really means one

This club will hopefully be closed in three weeks
That would be cool with me
Well, I'm still imagining a dark lit place
Or your place or my place

Well I'm not paralyzed, but I seem to be struck by you
I want to make you move because you're standing still
If your body matches what your eyes can do
You'll probably move right through me on my way to you

Well I'm not paralyzed, but I seem to be struck by you
I want to make you move because you're standing still
If your body matches what your eyes can do
You'll probably move right through me on my way to you

Not paralyzed, but I seem to be struck by you
I want to make you move because you're standing still
If your body matches what your eyes can do
You'll probably move right through me on my way to you

You'll probably move right through me on my way to you
You'll probably move right through me on my way to you",Paralyzer+Finger Eleven,1
Love Song,Sara Bareilles,01/06/2008,9,9,9,"Head under water
And they tell me
To breathe easy for a while
The breathing gets harder
Even I know that

You made room for me
But it's too soon to see
If I'm happy in your hands
I'm unusually hard to hold on to

Blank stares at blank pages
No easy way to say this
You mean well but you make this hard on me

I'm not gonna write you a love song
'Cause you ask for it
'Cause you need one
You see, I'm not gonna write you a love song
'Cause you tell me it's
Make or breakin' this if you're on your way
I'm not gonna write you to stay

If all you have is leavin'
I'ma need a better reason
To write you a love song today (Yeah)
Today, yeah

I learned the hard way
That they all say
Things you wanna hear
And my heavy heart
Sinks deep down under you and your twisted words
Your help just hurts
You are not what I thought you were
Hello to high and dry

Convinced me to please you
Made me think that I need this too
I'm tryin' to let you hear me as I am

I'm not gonna write you a love song
'Cause you ask for it
'Cause you need one
You see, I'm not gonna write you a love song
'Cause you tell me it's
Make or breakin' this if you're on your way
I'm not gonna write you to stay

If all you have is leavin'
I'ma need a better reason
To write you a love song today

Promise me (Ah, ah, ah)
That you'll leave the light on (Ah, ah, ah)
To help me see (Ah, ah, ah)
With daylight, my guide, gone (Ah, ah, ah)

'Cause I believe, there's a way (Ah, ah, ah)
You can love me because I say I won't write you a love song
'Cause you ask for it
'Cause you need one (Mhm)
You see, I'm not gonna write you a love song (ooh)
'Cause you tell me it's
Make or breakin' this

Is that why you wanted, a love song? (Yeah)
'Cause you asked for it
'Cause you need one
You see, I'm not gonna write you a love song (Write you a love song)
'Cause you tell me it's
Make or breakin' this
If you're on your way (Oh, oh)
I'm not gonna write you to stay

If your heart is nowhere in it
I don't want it for a minute (for a minute)
Babe, I'll walk the seven seas (the seven seas)
When I believe that there's a reason
To write you a love song today (write you a love song today)
Today, yeah",Love Song+Sara Bareilles,1
Tattoo,Jordin Sparks,01/06/2008,10,8,14,"Oh, oh, oh

No matter what you say about love, I keep coming back for more
Keep my hand in the fire, sooner or later 
I get what I'm asking for
No matter what you say about life, I learn every time I bleed
That truth is a stranger, my soul is in danger 
I gotta let my spirit be free 
To admit that I'm wrong, and then change my mind
Sorry, but I have to move on and leave you behind

I can't waste time, so give it a moment
I realize nothing's broken
Don't need to worry 'bout everything I've done
Live every second like it was my last one
Don't look back, got a new direction
I loved you once, needed protection
You're still a part of everything I do
You're on my heart, just like a tattoo

Just like a tattoo, I'll always have you
(I'll always have you
I'll always have you)

I'm sick of playing all of these games
It's not about taking sides
When I looked in the mirror, didn't deliver
It hurt enough to think that I could stop
Admit that I'm wrong and then change my mind
Sorry, but I've gotta be strong and leave you behind 

I can't waste time, so give it a moment
I realize nothing's broken
Don't need to worry 'bout everything I've done
Live every second like it was my last one
Don't look back, got a new direction
I loved you once, needed protection
You're still a part of everything I do
You're on my heart, just like a tattoo

Just like a tattoo, I'll always have you
(I'll always have you)

If I live every moment
Won't change any moment
It's still a part of me and you
I will never regret you
Still the memory of you
Marks everything I do

Oooh

I can't waste time, so give it a moment
I realize nothing's broken
Don't need to worry 'bout everything I've done
Live every second like it was my last one
Don't look back, got a new direction
I loved you once, needed protection
You're still a part of everything I do
You're on my heart, just like a tattoo

I can't waste time, so give it a moment
I realize nothing's broken
Don't need to worry 'bout everything I've done
Live every second like it was my last one
Don't look back, got a new direction
I loved you once, and I needed protection
You're still a part of everything I do
You're on my heart, just like a tattoo

Just like a tattoo, I'll always have you",Tattoo+Jordin Sparks,1
Cyclone,Baby Bash Featuring T-Pain,01/06/2008,11,7,23,"She moves her body like a cyclone
And she makes me wanna do it all night long
Going hard when they turn the spotlights on
Because she moves her body like a cyclone
Just like a cyclone

She moves her body like a cyclone
And she makes me wanna do it all night long
Going hard when they turn the spotlights on
Because she moves her body like a cyclone
A mighty cyclone

Now look at that pepper on the back of that bumper
She ain't even playing when she's shaking that rumper
And oh, you ain't know she get lower than a muffler
Even with her girlfriends show stopping with a hustler

The way she move her body she might see the Maserati
She wanna put it on me tryna show me her tsunami
She make it hard to copy always tight and never sloppy
And got her entourage and her own paparazzi

Now there she go again riding through the stormy weather
You better button up if you wanna go get her
'Cause it is what it is, everybody wanna love her
But when she pop it, boy, you better run for cover

She moves her body like a cyclone
And she makes me wanna do it all night long
Going hard when they turn the spotlights on
Because she moves her body like a cyclone
Just like a cyclone

She moves her body like a cyclone
And she makes me wanna do it all night long
Going hard when they turn the spotlights on
Because she moves her body like a cyclone
A mighty cyclone

(It's a wrap)
When she break them boys off a typhoon
(It's a wrap)
Gotta get that phatty like a boss tycoon

(It's a wrap)
Now hold it steady 'cause she make a monsoon
(It's a wrap)
Now you can Google, download the iTunes

See what I'm saying, she ain't playing
Yeah, she got them heads turning
You gon' hear it clack, clack
When them heels get to burning
Stiletto so fuego, she got her own label
And got us all doing the tornado

She moves her body like a cyclone
And she makes me wanna do it all night long
Going hard when they turn the spotlights on
Because she moves her body like a cyclone
Just like a cyclone

She moves her body like a cyclone
And she makes me wanna do it all night long
Going hard when they turn the spotlights on
Because she moves her body like a cyclone
A mighty cyclone

Shawty got looks and shawty got class
Shawty got hips and shawty got ass
When she hit the stage she drop it down low like

Ay! This is crazy, it's amazing!
It must be the way of the lady

She moves her body like a cyclone
And she makes me wanna do it all night long
Going hard when they turn the spotlights on
Because she moves her body like a cyclone
Just like a cyclone

She moves her body like a cyclone
And she makes me wanna do it all night long
Going hard when they turn the spotlights on
Because she moves her body like a cyclone
A mighty cyclone",Cyclone+Baby Bash Featuring T-Pain,1
